Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Word frequency,Is Single Syllable,Concreteness,Letter frequency,Is Repeated
44926.0,560.0,manly,20380.0,1899.0,0.0,2.0,17.0,37.0,29.0,12.0,2.0,3.1156760000000003e-06,False,2.03,0.0466,False
44924.0,558.0,havoc,20001.0,1919.0,0.0,2.0,16.0,38.0,30.0,12.0,2.0,2.419932e-06,False,2.18,0.051160000000000004,False
44922.0,556.0,condo,20879.0,2012.0,0.0,2.0,17.0,35.0,29.0,14.0,3.0,1.960344e-06,False,4.76,0.0576,True
44921.0,555.0,judge,20011.0,2043.0,0.0,2.0,8.0,16.0,26.0,33.0,14.0,5.1865560000000004e-05,True,3.75,0.0445,False
44920.0,554.0,extra,15554.0,1562.0,1.0,5.0,20.0,35.0,28.0,10.0,1.0,3.939072e-05,False,2.46,0.07289999999999999,False
44919.0,553.0,poise,20281.0,1911.0,2.0,11.0,34.0,32.0,15.0,6.0,1.0,1.100621e-06,True,2.39,0.07139999999999999,False
44918.0,552.0,aorta,21937.0,2112.0,0.0,7.0,26.0,35.0,20.0,10.0,3.0,2.842526e-06,False,4.61,0.078,True
44917.0,551.0,excel,20490.0,2034.0,0.0,1.0,13.0,34.0,34.0,15.0,2.0,6.2910320000000005e-06,False,2.15,0.06589999999999999,True
44916.0,550.0,lunar,22180.0,2036.0,0.0,5.0,32.0,40.0,17.0,4.0,0.0,3.3237359999999998e-06,False,3.56,0.055400000000000005,False
44915.0,549.0,third,24137.0,2261.0,1.0,10.0,47.0,32.0,9.0,2.0,0.0,0.00015541219999999997,True,3.44,0.065,False
44914.0,548.0,slate,26010.0,2422.0,6.0,14.0,33.0,27.0,13.0,5.0,1.0,3.560934e-06,True,4.58,0.08120000000000001,False
44913.0,547.0,taper,22166.0,2108.0,0.0,8.0,28.0,30.0,20.0,11.0,3.0,1.4024260000000002e-06,False,3.56,0.0764,False
44912.0,546.0,chord,22336.0,2088.0,0.0,7.0,39.0,38.0,13.0,3.0,0.0,3.783996e-06,True,4.29,0.05339999999999999,False
44911.0,545.0,probe,22853.0,2160.0,0.0,6.0,24.0,32.0,24.0,11.0,3.0,8.528416e-06,True,3.62,0.0598,False
44910.0,544.0,rival,22176.0,2127.0,0.0,7.0,27.0,35.0,22.0,8.0,1.0,9.911916000000001e-06,False,3.03,0.05236,False
44909.0,543.0,usual,20824.0,2048.0,0.0,3.0,20.0,39.0,27.0,10.0,1.0,4.76482e-05,False,1.9,0.04820000000000001,True
44908.0,542.0,spoke,24101.0,2224.0,0.0,6.0,31.0,38.0,19.0,5.0,0.0,7.67222e-05,True,3.38,0.058940000000000006,False
44907.0,541.0,apply,22873.0,2150.0,0.0,5.0,28.0,38.0,22.0,7.0,1.0,5.697018e-05,False,2.5,0.036,True
44906.0,540.0,naive,21947.0,2075.0,1.0,7.0,24.0,32.0,24.0,11.0,1.0,3.747224e-06,False,1.85,0.07176,False
44905.0,539.0,knock,21157.0,2041.0,0.0,3.0,18.0,43.0,27.0,8.0,1.0,1.489196e-05,True,4.24,0.03708,True
44904.0,538.0,braid,23640.0,2165.0,0.0,10.0,36.0,35.0,14.0,3.0,0.0,2.083498e-06,True,4.38,0.054000000000000006,False
44903.0,537.0,infer,21199.0,1863.0,0.0,3.0,19.0,33.0,26.0,14.0,3.0,4.191756000000001e-06,False,2.15,0.0698,False
44902.0,536.0,joust,24899.0,2388.0,0.0,6.0,29.0,34.0,21.0,8.0,2.0,2.180454e-07,True,4.03,0.05169999999999999,False
44901.0,535.0,amber,23509.0,2261.0,0.0,6.0,22.0,33.0,24.0,12.0,3.0,8.013106e-06,False,4.35,0.0622,False
44899.0,533.0,adore,25577.0,2398.0,2.0,17.0,32.0,29.0,15.0,5.0,1.0,2.045672e-06,False,2.34,0.078,False
44898.0,532.0,torso,23873.0,2260.0,0.0,4.0,35.0,36.0,17.0,6.0,1.0,4.155722e-06,False,4.83,0.0728,True
44897.0,531.0,chafe,24646.0,2343.0,0.0,6.0,30.0,33.0,19.0,9.0,2.0,3.5859320000000005e-07,True,3.42,0.06459999999999999,False
44896.0,530.0,eject,22628.0,2200.0,0.0,2.0,11.0,35.0,36.0,14.0,2.0,5.02315e-07,False,3.22,0.07610000000000001,True
44895.0,529.0,study,2569.0,2405.0,0.0,6.0,30.0,33.0,19.0,10.0,2.0,0.00025894939999999994,False,3.7,0.048999999999999995,False
44894.0,528.0,undue,23739.0,2316.0,0.0,3.0,19.0,35.0,29.0,13.0,2.0,3.022344e-06,False,1.67,0.05920000000000001,True
44893.0,527.0,tepid,26051.0,2484.0,0.0,10.0,38.0,35.0,13.0,3.0,0.0,6.916036e-07,False,2.52,0.0706,False
44892.0,526.0,happy,25206.0,2356.0,0.0,6.0,28.0,39.0,19.0,6.0,1.0,9.546254000000001e-05,False,2.56,0.0402,True
44891.0,525.0,clean,26381.0,2424.0,1.0,17.0,36.0,31.0,12.0,3.0,0.0,5.083136e-05,True,3.07,0.0694,False
44890.0,524.0,itchy,24197.0,2329.0,0.0,8.0,28.0,40.0,18.0,5.0,1.0,8.960059999999999e-07,False,3.21,0.054000000000000006,False
44889.0,523.0,feast,27705.0,2725.0,5.0,13.0,25.0,27.0,19.0,10.0,2.0,1.1086804e-05,True,4.3,0.0776,False
